Module Name,Programme,Semester,Year,ID,Case study,Case Study de,Assignment,Communication,Competence Area,Content,Content Type,Coordinator,Description,Discussion,ECTS,Follow up module,Group work,Groupwork,ID Year,Individual work,Interactive instruction,Judgement,Knowledge,Language of instruction,Lecture,Level,Module Coordinator,Module Type,Online Tutorial,Oral exam,Other,Presentation,Project,Recommended Reading,Review of literature,Semester 1,Seminar,Simulation,Title,Written,Item Type
Digital Business and Value Networks  Part 2,BSc. Betriebsökonomie |BSc. Business Administration |,Spring,2022,936,Case study,,Assignment,Students will:use correct technical vocabulary for written and oral communication.be able to describe and present existing digital networked business models as case studies. ,Integration and Implementation  Supply Chain Management  Digital Business  Value Networks,The second part of this course builds upon many of the concepts  methods and tools you learned in the first part of this course. The core of the second part of this field of study is doing. You will create your own case studies  visit companies that you have selected by yourself  and experience the application of technology  for example artificial intelligence. You will benefit from practical presentations as well as direct feedback from experts in the field. During your learning process  you will be continuously accompanied by and challenged digitally. You will also enhance your ability to familiarize yourself quickly and precisely with new topics.  ,Item,,"With increasing digitalization and internationalization  the development of innovative business models as well as sustainable business processes is gaining importance. In this field of study  you will learn and experience how to build digital business models and value networks with customers  suppliers and business partners. For the digital transformation of their business models  companies  public authorities and other organizations are looking for employees who can master and drive the digitalization of value-creation networks for products and services. This requires digitally affine  open-minded and curious employees who holistically grasp the upcoming challenges and potential of digitalization and can implement digital technologies profitably. For this field of study  you must enjoy doing things and being confronted with new things. You must want to change and embrace the challenges of digitalization. The subject area ""Digital Business and Value Networks"" is growing and offers long-term career prospects. With this field of study  the following career prospects are open to you: Chief Digital Officer  Digital Business Manager  Digitalization Project Manager  Digital Business Analyst  Digital Business Architect and Supply Chain Manager. The second part of this field of study focuses on doing. Current  real-world  digital business models from various sectors of the economy are examined and  by way of concepts  simulations and case studies  processed and documented. You will finalize and present your independently acquired digitalization case  as well as solve and discuss other case studies within the class.  ",Discussion,10,?None. ,Group work,Group work,936_Spring_2022,,Interactive instruction,Students: can assess innovative prototypical concepts for digital business models from economic and ecological perspectives.can assess and evaluate the benefits and risks of innovative technologies from economic and ecological perspectives.can assess innovative digital technology and its application. ,Students:understand the importance of networked  innovative  time and location-independent technologies for digital business models.understand how innovative technologies  as well as current trends in digitalization  can be identified and how they influence and change existing business models.know how creative ideas for new digital products and services can be identified and developed into innovative solutions.know and understand the management methods to drive digital innovation in companies  authorities and organizations.know how to develop and create practice-based case studies on digital business models. ,English,Lecture,Specialized,John Paul Manning|#1822|#Joachim Ehrenthal|#796,,Online Tutorial,,,presentation,,?To be announced by the lecturer(s). ,Review of literature,,,Simulation,Module Description,written exam,Item
Wirtschaftsethik: Wie sollen wir handeln? Umgang mit ethischen Dilemma-Situationen ,BSc. Betriebsökonomie |BSc. Business Administration |,Spring,2021,953,,Fallstudien,,?Die Studierenden....  erwerben Kompetenzen in der professionellen Moderation von ethischen Fallgesprächen|können Bedenken  Fragen  Fakten  Urteile verständlich formulieren|erwerben Kompetenzen darin  auch gegen eine Mehrheit seine Bedenken oder Werte zu äussern|erwerben Kompetenzen darin  in Fallgesprächen ethisch zu argumentieren|reflektieren den eigenen Lernprozess des Workshops und formulieren ihn strukturiert in einem schriftlichen Portfolio.  ,Kontext,Die Studierenden... lernen die Bedeutung des Begriffs «Verantwortung» kennen? Was bedeutet es  sich zu «ver-antworten» - juristisch  moralisch/ethisch? (Rep. Wirtschaftsethik 1. Semester)|sie festigen Ethiktheorien (Rep. Wirtschaftsethik 1. Semester)|sie lernen anhand konkreter Fallbeispiele (eigene oder fremde) ethische Dilemma-Situationen kennensie lernen die Herangehensweise an ethische Dilemma-Situationen kennen|sie lernen  wie man ein professionelles ethisches Fallgespräch einberuft und organisiert (im Team)|sie werden in das 5-Schritte-Modell von Bleisch/Huppenbauer eingeführt (Modell für eine professionelle ethische Entscheidungsfindung)sie üben das 5-Schritte-Modell in Gruppen|sie üben die Moderation eines Fallgesprächs|sie reflektieren die Übungen gemeinsam mit gegenseitigem Feedback|die Teilnehmenden führen ein Logbuch mit Aufzeichnungen über den Verlauf dieser Fallgespräche  und mit kritischen (Selbst-)reflexionen|die Teilnehmenden überführen die Notizen im Logbuch in ein strukturiertes und zusammenfassendes Portfolio (ca. 5 Seiten).,Item,,?Wir alle werden bei unserer beruflichen Tätigkeit mit ethischen Dilemma-Situationen konfrontiert. Ethische Dilemmata sind Situationen  in denen wir nicht wissen  wie wir handeln sollen  weil wir nicht wissen  was in diesem Fall richtig ist. Ethik beginnt da  wo unser alltägliches Wertesystem verunsichert oder von aussen in Frage gestellt wird. Zur Lösung solcher Konflikte reicht der «gesunde Menschenversand» oft nicht aus. Philosophische Methoden  Fragetechniken und Prinzipien helfen  solche Konfliktsituationen zu analysieren und Entscheidungen zu fällen  die gut begründet sind und wofür wir die Verantwortung tragen können. In diesem Workshop lernen die Studierenden ein Modell für ethische Fallbesprechungen kennen  das auch im Management eingesetzt wird. Sie lernen ethische Fallgespräche moderieren  argumentieren  Alternativen suchen und einen ethisch begründeten Entscheid im Konsens finden.  ,,3,?keine ,,,953_Frühling_2021,,,?Die Studierenden....  erkennen  wann es sich um ein ethisches Dilemma handelt  für das es ein Fallgespräch benötigt|wissen  wann es sich um ein Werturteil handelt oder um eine Beschreibung|verstehen  andere Urteile aufzunehmen und einzuordnenverstehen  eigene (Wert-)Urteile zu reflektieren und zu formulieren|kennen Wege  wie man gemeinsam mit anderen zu einem Wert-Urteil (Entscheidung) findet. ,?Die Studierenden....  verstehen  was Ver-antworten bedeutet|erkennen und wissen  was ein ethisches Dilemma ist|wissen  wie man ein ethisches Fallgespräch einberuft und organisiert|kennen das 5-Schritte-Modell für die ethische Entscheidungsfindung (Bleisch/Huppenbauer). ,German,,Basic,Denise Battaglia|#427,Elective,,,,,,,,,,,Modul Beschreibung,,Item
Wirtschaftsethik: Geschichte des wirtschaftlichen Denkens – eine Einführung,BSc. Betriebsökonomie |BSc. Business Administration |,Spring,2021,954,,,,?Die Studierenden....  können Fragen  Gedanken und Kritik formulieren|können verschiedene Denkansätze diskutieren|können auf (Gegen-)Argumente eingehen und Gedanken dazu formulieren|können ein zusammenfassendes Poster erstellen|können ihr eigenes Poster dem Plenum präsentieren.  ,Kontext,chronologischer Aufbau der Wirtschaftsgeschichte in Epochenschritten: von der Antike über das Mittelalter  die Neuzeit bis heute|zu jeder Epoche lesen wir jeweils Auszüge relevanten Denkern dieser Zeit  die das wirtschaftliche Handeln geprägt haben und/oder einordnende Sekundärtexte|wir befassen uns mit den Argumenten der Denker  mit der Kritik anderer/nachfolgender Denker  setzen die verschiedenen Ideen  Utopien  Hoffnungen  Erwartungen und Kritiken jeweils in Bezug zueinander und auch zu heutigen Fragen und Problemen.die Teilnehmenden wählen jeweils zwei Themen  die sie über die Epochen verfolgen (zum Beispiel: «Kaufmann» und «Bauer» oder «Markt» und «Moral» oder «Fortschritt» und «Natur» oder «Ökonomie» und «Gemeinwohl»). Aus diesem Fokus machen die Studierenden ein Poster  auf dem sie die Veränderung zu den gewählten Stichworten über die Zeit darstellen und dem Plenum vorstellen. Dazu geben Sie eine schriftliche Erläuterung von rund 3 Seiten ab.  ,Item,,Die Ökonomie wurzelt im Denken der Philosophie  denn bei der Frage  wie wir wirtschaftlich Handeln und welche Grenzen wir diesem Handeln setzen  geht es um Werte und Ziele. Es geht um die Frage  was ein gutes Leben ausmacht und wie wir zusammenleben wollen. Um die Motivationen wirtschaftlichen Handelns und die zugrunde liegenden Menschen- und Weltbilder zu verstehen  hilft ein Blick in die Wirtschaftsgeschichte. In diesem Kontextmodul befassen sich die Studierenden mit dem Denken von Platon/Aristoteles über die Klassiker der Nationalökonomie  Marx/Engels bis zu den Vertretern des Manchester-Liberalismus und der Chicagoer Schule. Sie erfahren  warum grosse Denker in der Antike und im Mittelalter von Reichtum und Besitz warnten und die Armut priesen  lernen die Gründe für das einstige Zinsverbot kennen  erfahren  warum der Kaufmann als «unehrlicher» Beruf galt  und warum gemäss Philosophen  Psychologen und Soziologen die Industrialisierung den Menschen von seiner Arbeit «entfremdet»  die Welt «entzaubert» und alles Lebendige zum «Objekt» gemacht hat. Die Geschichte des wirtschaftlichen Denkens verweist auf Zusammenhänge von der Antike bis heute  sie hilft  das Denken und Handeln von heute besser zu verstehen und damit zu aktuellen Fragen fundiert(er) Stellung zu nehmen. Betriebsökonominnen und -ökonomen lernen in diesem Modul verstehen  wie kulturelle Faktoren  wissenschaftliche Erkenntnisse und katastrophale Ereignisse unser ökonomisches Handeln  unser Menschen- und Weltbild prägten.   Wir lesen Auszüge aus Originalquellen relevanter Denker und erklärende Sekundärtexte  die wir einordnen  diskutieren und zu aktuellen Fragen in Bezug setzen.  ,,3,,,,954_Frühling_2021,,,?Die Studierenden....  können verschiedene ökonomische Denkansätze und Ideen unterscheiden und einordnen|können Wirtschaftssysteme in ihren Auswirkungen auf Mensch  Gemeinschaft  Natur beurteilen|erkennen  wie die Technisierung unser Bild vom Menschen und von der Natur  die Wissenschaft  das wirtschaftliche Handeln  die Politik beeinflusst und verändert hat. ,?Die Studierenden....  kennen verschiedene Wirtschaftssysteme und die (philosophischen) Begründungen dafür (und dagegen)|können die verschiedenen Wirtschaftssysteme mit Menschenbildern und Weltbildern in Zusammenhang bringen|können Wirtschaftssysteme mit Gerechtigkeitsfragen in Zusammenhang bringen|können den Einfluss der Technisierung auf das Menschenbild und den Umgang mit der Natur erläutern|können den Kapitalismus in Bezug zu anderen Wirtschaftssystemen und den jeweils darin enthaltenen Menschen- und Weltbildern setzen|kennen die ursprüngliche Bedeutung des Begriffs «Ökonomie» und können diese in Bezug zu verschiedenen Wirtschaftssystemen setzen.,German,,Basic,Denise Battaglia|#427,Elective,,,,,,? ,,,,,Modul Beschreibung,,Item
Software Engineering,BSc. Wirtschaftsinformatik |,Spring,2021,463,,,,?Die Studierenden ...… können Design-Entscheidungen und Quellcode dokumentieren (Obj. 3.1).… können einfache UML Diagramme lesen und erstellen.,Informatik,Fortgeschrittene JavaFX ProgrammierungFortgeschrittene objektorientierte Konzepte (abstrakte und generische Klassen  Polymorphismus  usw.)DatenstrukturenSoftwarearchitekturen und Design PatternsInduktion und RekursionAnwendung eines Software-FrameworksNetzwerkkommunikation  Messaging und Threads,Item,,?Die zentrale Idee des Moduls ist es  fortgeschrittene Programmiertechniken in einer objektorientierten Programmiersprache (Java) zu lernen. Somit können die Studierende grössere Programme erstellen  die aus mehreren Klassen bestehen. Das Modul betont praktische Techniken  die für echte Programme nützlich sein können  z.B. Input/Output  Netzwerkkommunikation  mehrsprachige Anwendungen  usw.,,5,?Internettechnologien IT-Projekt ,,,463_Frühling_2020,,,?Die Studierenden ...… können Datenstrukturen korrekt auswählen  basierend auf die Attribute der spezifischen Situation…können Software-Architekturen und Design-Patterns evaluieren  basierend auf die spezifische Aufgabe (Obj. 2.1).,?Die Studierenden ...… verstehen fortgeschrittene objektorientierte Konzepte wie abstrakte Klassen und generische Klassen … verstehen ausgewählte Design-Patterns wie Factory  Singleton und Model-View-Controller (Obj. 1.1). ,German,,Intermediate,Bradley Richards|#231,,,,,,,?Wird in der Vorlesung bekannt gegeben,,,,,Modul Beschreibung,,Item
Internet Technology,BSc. Business Information Technology |,Autumn,2021,519,,,Assignment,?The students ...     ... can explain the most critical tasks and activities of web engineering. ,Information Technology, NetworksISO/OSI ModelInternet Protocol Suite TCP/IP  Routing and IPv6Domain Name System (DNS)Hypertext Transfer Protocol (HTTP) and HTTP over TLS (HTTPS) Web TechnologiesREST Architecture and APIsHTML & CSSJavaScript Web Frameworks/LibrariesjQuery or alternative Bootstrap or alternative CSS framework Web ApplicationsMicroservicesWeb Security and AuthenticationJava Web Frameworks  e.g. Spring BootPersistence Layer: Object-Relational MappingBusiness and Service Layer: Business Services and REST ControllersCloud Deployment ,Item,,     This module gives students an overview of the most important methods and concepts of a web architecture and focuses on the competent use of selected and state of the art web technologies  which are relevant in an enterprise application domain. Besides  this module drives the digitalisation process by reflecting concepts such as API or microservice design. Finally  this module sharpens the understanding of an economical software development architecture through the use of frameworks and selected libraries.,Discussion,5,,Group work,Group work,519_Autumn_2021,Individual work,Interactive instruction,?The students ...     ... are able to analyse  interpret and describe requirements for a web application.     ... are able to model a web application and design a corresponding architecture adequately.,?The students ...     ... know and understand the terms and concepts of a web architecture.     ... know different diagram types to model and describe web architectures.     ... know a current (Internet) technology to digitise business processes.     ... know the potential of different methods of web engineering,English,Lecture,Intermediate,Andreas Martin|#252|#Devid Montecchiari|#811,,Online Tutorial,,,,project,?Will be announced during the lecture,,,,,Module Description,written exam,Item
Context: The Swiss Banking Sector (as of AS21),BSc. Betriebsökonomie |BSc. Business Administration |,Spring,2021,696,Case study,,Assignment,#NAME?,,?- Players in the Swiss Banking Sector  - Structure and development of the Swiss Financial Center  - Categories of banks  - Current issues and themes  - Swiss Private Banking   - FINMA  and regulation  - Digitalization  - Sustainable finance  - SNB  - Swiss Franc and Gold - SIX   ,Item,,??Students  will get a broad understanding of the importance of the Swiss Banking  sector (facts and figures)  its major business lines  players   institutions and supervisory authorities. In addition  students will get  in depth insights from senior executives and FHNW faculty on current issues in the area of  regulation  digitalization  private banking and sustainable finance. ,Discussion,3,,Group work,Group work,696_Spring_2021,Individual work,Interactive instruction,- critically evaluate current and future opportunities and threats to the Swiss Banking sectors ,#NAME?,English,Lecture,Advanced|#Specialized,Silke Waterstraat|#854,Elective,,,,presentation,,?additional reading will be distributed by the lecturer ,Review of literature,,Seminar,,Module Description,written exam,Item
Life worth living – was macht ein Leben lebenswert?,BSc. Betriebsökonomie |BSc. Business Administration |,Spring,2021,949,,,,?Die Studierenden übenihre eigene Vision von einem lebenswerten Leben zu formulieren und argumentativ zu verteidigen ,Umfeld verstehen,Die Frage nach dem guten Leben als eine Grundfrage der Philosophie und der ReligionenKatalog hilfreicher Fragen zur Analyse von LebensvisionenLebensvisionen aus den spirituellen Traditionen der WeltreligionenPhilosophische Lebensvisionen aus Antike und NeuzeitDas Spannungsverhältnis von Tradition und ModerneBegegnung mit Repräsentanten unterschiedlicher Traditionen  ,Item,,          Was macht ein Leben lebenswert? Wie führt man ein gutes Leben und welche Form könnte es annehmen? In diesem Modul möchten wir solchen Fragen nachgehen  indem wir uns mit dem Leben und den Lebensvisionen prägender Figuren philosophischer und religiöser Traditionen auseinandersetzen und zeitgenössischen RepräsentantInnen derselben begegnen. Menschsein heisst immer auch  eine Wahl zu treffen ausgehend von wesentlichen Fragen: Was ist der Mensch und seine Rolle in der Welt? Was tue ich und weshalb? Wem oder was gegenüber trage ich mit meiner Lebensführung Verantwortung? Was macht ein glückliches Leben aus? Wie gehe ich mit Scheitern um? Ich bin frei  diese Fragen nach meinem Gutdünken zu beantworten. Im Austausch mit anderen und solchen  die vor uns gegangen sind  lassen sie sich vertieft klären.  Dieses Modul dient insofern der Auseinandersetzung mit möglichen Visionen eines lebenswerten und guten Lebens.            ,,2,?-,,,949_Frühling_2021,,,?Die Studierenden könnenmögliche Visionen von einem lebenswerten Leben auf sich selbst beziehen und kritisch reflektieren ,?Die Studierenden können: ausgewählte religiöse und philosophische Traditionen benennen und beschreiben,German,,Basic,,Elective,,,,,,?Wird zu Beginn der Lehrveranstaltung bekannt gegeben. ,,,,,Modul Beschreibung,,Item
How society works: Megatrends der Gesellschaft,BSc. Betriebsökonomie |,Autumn,2020,717,,,, ?Die Studierendendiskutieren die unterschiedlichen Veränderungen und die Einflüsse auf Wirtschaft und Gesellschaft undargumentieren überzeugend.  ,Umfeld verstehen,In verschiedenen Themenblöcken befassen wir uns anhand von aktuellen Beispielen und Beispielen aus der jüngeren Vergangenheit mit Veränderungsprozessen und den Auswirkungen auf uns Menschen und Unternehmen. Dabei stützen wir uns unter auf unterschiedliche filmische Dokumente zu den jeweiligen Themen. Mögliche Themen sind: Einfluss der Gesellschaft auf die WirtschaftDer Megatrend der IndividualisierungMegatrend Silver Society und Demographischer WandelUrbanisierung als MegatrendMegatrend DigitalisierungVoraussetzungen für Wandel: soziale Mobilität und Macht  Der Kurs nimmt zudem situativ Bezug auf aktuelle Vorkommnisse und Gegebenheiten. ,Item,,Megatrends beeinflussen unser Leben  unser Handeln und unser Sein. Doch auch Unternehmen und die Wirtschaft sind von ihnen betroffen.  Unsere Gesellschaft verändert sich stetig. Besonders prägend sind dabei die erwähnten Megatrends  die zu einem tiefgreifenden und nachhaltigen Wandel in unserer Gesellschaft führen.  Ziel des Kurses ist es ein Verständnis für gesellschaftliche Veränderungen zu schaffen  deren Einfluss auf Unternehmen zu diskutieren und zu zeigen  wie man als Unternehmerin oder Unternehmer von diesen Veränderungen profitieren kann. Der Kurs beschäftigt sich mit der Frage  wie unsere Gesellschaft funktioniert und welche gesellschaftlichen Megatrends aktuell bestimmend sind. Unter Zuhilfenahme von verschiedenen filmischen Beispielen werden die Trends besprochen und gemeinsam analysiert.  ,,2,?Keins ,,,717_Herbst_2020,,, ?Die Studierendensetzen sich mit den unterschiedlichen Megatrends auseinander undanalysieren deren Einfluss auf Unternehmen. ,Die Studierendenverstehen Funktionsweisen der Gesellschaftennen verschiedene Megatrends  deren Ursachen und Ausprägungen und wie sie unsere Gesellschaft verändern.verstehen das Wie und Warum von Veränderungsprozessen.,German,,Basic,Stefan Philippi|#773,Elective,,,,,,Gemäss Skript. Zusätzliche Literatur wird auf Moodle zur Verfügung gestellt. ,,,,,Modul Beschreibung,,Item
Mindset für die digitale Arbeitswelt,BSc. Business Information Technology |BSc. Wirtschaftsinformatik |,Autumn,2020,888,,Fallstudien,,?Die Studierendenwissen  wie das eigene Netzwerk aufgebaut und gehalten werden kann.wissen  wie man sich Informationen beschafft und mit wem man sich austauschen kann.erkennen  wer unterstützend und wer oder was erfolgsgefährdend ist.wissen  wie kommuiziert werden muss  damit man verstanden wird.wissen  wie unterschiedliche Typen kommunizieren.lernen  zwischen den Zeilen zu lesen.,Wahlmodule,?Folgende Themenblöcke werden behandelt: Einführung Graves Modell  Graves Modell in der Praxis  Selbsttest BEENtTM*youStrategische Vernetzung und Risikomanagement in der Arbeitswelt Scaling & Leading an (IT) Startup - Building a High Performance Team Spirit Innovation Process  Google Design Sprints  Lean Canvas  Lean Startup5C and the world of toworrow - Gruppen-Simulation einer vernetzten Arbeitswelt.,Item,,?Die digitale Arbeitswelt verlangt andere Arbeitsformen  dadurch entstehen neue  kurzfristige Einbindungen  aber genauso eben Engagements  die virtuell  volatil und transitorisch sind. Um diese Unsicherheiten psychologisch ertragen zu können  muss man das eigene Mindset richtig framen können. Das soll in diesem Modul geübt und gelernt werden.,,3,,,,888_Frühling_2020,,,?Die Studierenden können beurteilenauf welcher Stufe sich ein Unternehmen im Transformationsprozess befindet.,?Die Studierendenkennen die Entwicklungsstufen  die jeder Mensch und jedes Unternehmen durchlaufen (Transformationsprozess)  ,German,,Specialized,Marc Aeschbacher|#139,Elective,,,,,,,,,,,Modul Beschreibung,,Item
Principles of Management,BSc. Business Administration |,Autumn,2019,373,Case study,,,? - Demonstrate ability to think critically  to organize thoughts logically and to communicate persuasively elements of princi-ples of management to a target audience (Obj. 3.1| Obj. 3.2).,integrate and implement ,Introduction to Management and Business AdministrationManagement Models and Competitive AdvantageGlobalization and International Environment of BusinessDiversity ManagementStrategic ManagementValue Chain ManagementManaging Organizational Structure and CultureHuman Resource ManagementOrganizational Control and ChangeTechnology and Digital Business and Innovation Management  ,Item,,?This module lays down the foundations for all management and business subjects taught in the degree course. The holistic approach introduces students to the workings of business organizations  both private and public  and examines their role in the economy. Students develop a critical perspective on the main functional areas of management and acquire knowledge of the different approaches to management and managerial decision-making. At the end of the module  students are able to apply models  frameworks and tools for analysis of business problems and can offer practical recommendations to management.,Discussion,5,"?The ""Principles of Management"" module serves as a foundation for the business administration studies.",Group work,Group work,373_Autumn_2019,Individual work,Interactive instruction,- ?Evaluate the information and data in order to provide suitable and practical recommendations to management (Obj. 2.1)  - Critically evaluate alternative theories of management  recognizing the centrality of decision making and strategic thinking to the managerial role and functions (Obj. 2.1) ,?- Identify and describe the general objectives of business and the context in which it operates (Obj. 1.1) - Explain the holistic nature of business management and describe the functions and tasks of management (Obj. 1.1) - Describe and explain the impact of an international business environment on an organization and managerial decision making (Obj. 1.1| Obj. 4.1),English,,Basic,,Mandatory,,,,,,?Additional reading materia is available on Moodle platform,Review of literature,,Seminar,Simulation,Module Description,written exam,Item
Datenschutz – Wie schütze ich meine Daten?,BSc. Wirtschaftsinformatik |,Spring,2021,893,,Fallstudien,,Die Kursteilnehmerinnen und Kursteilnehmerbesprechen und erarbeiten die Lösungen in der Gruppe  diskutieren und verteidigen ihre Lösungen  wählen schlussendlich die Beste der Lösungen aus  die dann weiterentwickelt wird.können Begriffe und Fachtermini rund um Datenschutz und Datensicherheit sicher anwenden und mit Experten darüber diskutieren.,,Folgende Lerninhalte sind vorgesehen:Kenntnisse rund um Datenschutz und Datensicherheit  die zur Einarbeitung in die Aufgaben eines betrieblichen oder behördlichen Datenschutzbeauftragten (DSB) nötig sindKenntnisse rund um Informationstechnik und PersönlichkeitsrechtKenntnisse rund um Datenschutz-  Computer- und ArbeitsrechtAuffrischung oder Erweiterung der Kenntnisse rund um IT-SicherheitStorytelling: Praxis des Datenschutzes...,Item,,Meine personenbezogenen Daten sind wertvoll – wer schützt sie wie?   Persönliche Daten werden heutzutage oft leichtfertig aus der Hand gegeben – dabei sind sie kostbar! Ihre Verwendung durch Dritte kann ungeahnte Risiken und unangenehme Folgen haben. Wie der aktuelle Datenschutz vor der unberechtigten Verwendung personenbezogener Daten schützt  wird am Beispiel der EU-DSGVO (Datenschutzgrundverordnung) und der Rechtsprechung des Europäischen Rates (dem die Schweiz auch angehört) gezeigt. In Bezug auf die anwendungsorientierte Umsetzung diskutieren wir Vorgehensmodelle  Checklisten  Einstufungswerkzeuge  etc. und ergänzen diese um die ‘technische’ Perspektive.,,3,?IT-Sicherheit resp. IT Security (im BSc WI oder im BSc BIT) ,,,893_Frühling_2021,,,Die Kursteilnehmerinnen und Kursteilnehmersind in der Lage  Lösungsansätze rund um Datenschutz/-sicherheit zu entwickeln  zu interpretieren und entsprechend Entscheidungen vorzubereiten und zu verteidigen.,Die Kursteilnehmerinnen und Kursteilnehmersind in der Lage  Problemfelder im Kontext von Datensicherheit und Datenschutz zu erkennen und können diese (teilweise) selbstständig beurteilen.erhalten die grundlegende Theorie vermittelt  um allfällige Stolpersteine im Kontext von Datensicherheit und Datenschutz zu erkennen.können ihre Kompetenzen und ihr Wissen einordnen und damit beurteilen und begründen  ob ggf. Experten zur Lösung eines Problems rund um Datenschutz/-sicherheit mit einbezogen werden sollten.,German,,Basic,Petra Asprion|#94,Elective,,,,,,?wird bei Bedarf im Kurs - auf Moodle - bereitgestellt  wie etwa Bergmann  Möhrle  Herb: Datenschutzrecht  Boorberg 58. AL 08/2019Wilde  Ehmann  Niese  Knoblauch: Bayerisches Datenschutzgesetz  31. AL 06/2019 (als Beispiel) Specht  Mantz: Handbuch Europäisches und deutsches Datenschutzrecht  C.H.Beck 2019https://fra.europa.eu/en/publication/2018/handbook-european-data-protection-law ,,,,,Modul Beschreibung,,Item
Entrepreneurship / Businessmodel,BSc. Business Information Technology |BSc. Wirtschaftsinformatik |,Spring,2020,747,,Fallstudien,,#NAME?,Wahlmodule,?- Vorlesung - Diskussion / Gruppenarbeit,Item,,?Die Studierenden sollen sich in einer Gruppenarbeit anhand der Erarbeitung eines Geschäftsmodell  mit Fokus auf E-Business mit dem Thema Entrepreneurship vertraut machen sowie Methoden und Tools zur Erarbeitung eines Geschäftsmodelles kennen lernen. ,,3,,,,747_Frühling_2020,,,?Die Studierenden - können beurteilen welche Herausforderungen und Chancen ihr Geschäftsmodell bietet ,?Die Studierenden - kennen die Vorgehensweise bei der Erstellung eines Geschäftsmodelles - kennen die Herausforderungen bei der Erarbeitung eines Geschäftsmodelles  insbesondere im Bereich des E-Business - kennen die Aspekte von Entrepreneurship  Chancen und Herausforderung einer Gründung ,German,,Advanced,Christina Loosli|#753,Elective,,,,,,?tbd ,,,,,Modul Beschreibung,,Item
